Char: 经 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 精 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 京 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 惊 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 睛 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 晶 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 荆 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 鲸 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 茎 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 兢 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 菁 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 旌 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 泾 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 粳 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 腈 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 鼱 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 鶄 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 麖 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 秔 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 葏 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 巠 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 驚 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
Char: 經 | Audio: 'https://res.cloudinary.com/zopjocdi/video/upload/v1785383098/da-phat-am-tieng-trung/audio/jing1.mp3'
